end_station_id,month,end_station_name,end_lat,end_lng,ride_count
3056.05,3,12 Ave & 36 St,40.643546,-73.986418,100
3056.05,4,12 Ave & 36 St,40.643546,-73.986418,400
3056.05,5,12 Ave & 36 St,40.643546,-73.986418,100
3056.05,6,12 Ave & 36 St,40.643546,-73.986418,600
3056.05,7,12 Ave & 36 St,40.643546,-73.986418,100
3056.05,8,12 Ave & 36 St,40.643546,-73.986418,700
3056.05,9,12 Ave & 36 St,40.643546,-73.986418,200
3056.05,10,12 Ave & 36 St,40.643546,-73.986418,400
3056.05,11,12 Ave & 36 St,40.643546,-73.986418,200
3056.05,12,12 Ave & 36 St,40.643546,-73.986418,400
3070.04,7,E 16 St & Cortelyou Rd,40.64173,-73.96364,400
3070.04,8,E 16 St & Cortelyou Rd,40.64173,-73.96364,400
3070.04,9,E 16 St & Cortelyou Rd,40.64173,-73.96364,800
3070.04,10,E 16 St & Cortelyou Rd,40.64173,-73.96364,500
3070.04,11,E 16 St & Cortelyou Rd,40.64173,-73.96364,300
3070.04,12,E 16 St & Cortelyou Rd,40.64173,-73.96364,400
3084.05,1,52 St & 6 Ave,40.642703,-74.009441,100
3084.05,2,52 St & 6 Ave,40.642703,-74.009441,100
3084.05,3,52 St & 6 Ave,40.642703,-74.009441,300
3084.05,4,52 St & 6 Ave,40.642703,-74.009441,200
3084.05,5,52 St & 6 Ave,40.642703,-74.009441,200
3084.05,6,52 St & 6 Ave,40.642703,-74.009441,200
3084.05,7,52 St & 6 Ave,40.642703,-74.009441,400
3084.05,8,52 St & 6 Ave,40.642703,-74.009441,400
3084.05,9,52 St & 6 Ave,40.642703,-74.009441,200
3084.05,10,52 St & 6 Ave,40.642703,-74.009441,100
3084.05,11,52 St & 6 Ave,40.642703,-74.009441,300
3084.05,12,52 St & 6 Ave,40.642703,-74.009441,200
3087.01,7,Cortelyou Rd & E 34 St,40.64454,-73.94486,100
3087.01,8,Cortelyou Rd & E 34 St,40.64454,-73.94486,100
3087.01,9,Cortelyou Rd & E 34 St,40.64454,-73.94486,100
3087.01,12,Cortelyou Rd & E 34 St,40.64454,-73.94486,200
3090.06,2,Church Ave & McDonald Ave,40.642809,-73.979239,100
3090.06,3,Church Ave & McDonald Ave,40.642809,-73.979239,100
3090.06,4,Church Ave & McDonald Ave,40.642809,-73.979239,300
3090.06,5,Church Ave & McDonald Ave,40.642809,-73.979239,300
3090.06,6,Church Ave & McDonald Ave,40.642809,-73.979239,300
3090.06,7,Church Ave & McDonald Ave,40.642809,-73.979239,600
3090.06,8,Church Ave & McDonald Ave,40.642809,-73.979239,900
3090.06,9,Church Ave & McDonald Ave,40.642809,-73.979239,600
3090.06,10,Church Ave & McDonald Ave,40.642809,-73.979239,700
3090.06,11,Church Ave & McDonald Ave,40.642809,-73.979239,300
3090.06,12,Church Ave & McDonald Ave,40.642809,-73.979239,200
3093.07,1,57 St & 4 Ave,40.642622,-74.016866,300
3093.07,2,57 St & 4 Ave,40.642622,-74.016866,500
3093.07,3,57 St & 4 Ave,40.642622,-74.016866,200
3093.07,4,57 St & 4 Ave,40.642622,-74.016866,900
3093.07,5,57 St & 4 Ave,40.642622,-74.016866,400
3093.07,6,57 St & 4 Ave,40.642622,-74.016866,600
3093.07,7,57 St & 4 Ave,40.642622,-74.016866,300
3093.07,8,57 St & 4 Ave,40.642622,-74.016866,300
3093.07,9,57 St & 4 Ave,40.642622,-74.016866,300
3093.07,10,57 St & 4 Ave,40.642622,-74.016866,500
3093.07,11,57 St & 4 Ave,40.642622,-74.016866,200
3093.07,12,57 St & 4 Ave,40.642622,-74.016866,300
3113.06,7,Rugby Rd & Beverley Rd,40.64435,-73.96591,400
3113.06,8,Rugby Rd & Beverley Rd,40.64435,-73.96591,900
3113.06,9,Rugby Rd & Beverley Rd,40.64435,-73.96591,300
3113.06,11,Rugby Rd & Beverley Rd,40.64435,-73.96591,300
